task,seed,candidate_id,family,lambda,selected_groups,selected_features,cost,n_groups,n_features,train_objective,stationarity,converged,iterations,warmup_iterations,val_bce,val_auroc,val_ap,method,alpha,validation_objective,test_bce,test_auroc,test_ap
linear_control,51967,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6933585710546761,0.5085075352455031,0.526043611439734,logistic_free,,,0.6916996751723415,0.5329606416778069,0.5330938541633313
nonlinear_interaction,51967,mlp_uniform_4,mlp_uniform,0.03,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.5803861745162758,0.0067370148054226656,False,1500,1500,0.44294548950726537,0.8737651695341933,0.8861785889449891,mlp_uniform,0.0,0.44294548950726537,0.43593033796075803,0.8749804684109099,0.8845198054422629
nonlinear_interaction,51967,mlp_uniform_5,mlp_uniform,0.1,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",65.0,3,11,0.764665991002696,0.006291133448783298,False,1500,1500,0.5256594993195197,0.862567058455876,0.8762699369535889,mlp_uniform,0.0005,0.5581594993195197,0.5167263192621249,0.8648066806715394,0.8741377664142171
nonlinear_interaction,51967,mlp_uniform_5,mlp_uniform,0.1,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",65.0,3,11,0.764665991002696,0.006291133448783298,False,1500,1500,0.5256594993195197,0.862567058455876,0.8762699369535889,mlp_uniform,0.001,0.5906594993195198,0.5167263192621249,0.8648066806715394,0.8741377664142171
nonlinear_interaction,51967,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.692235552069163,0.00021914793687047255,False,1500,0,0.6915629585153644,0.5273702668449105,0.5292465187292775,mlp_uniform,0.003,0.6915629585153644,0.6936436691490864,0.5079602076424938,0.5160241043343433
nonlinear_interaction,51967,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.692235552069163,0.00021914793687047255,False,1500,0,0.6915629585153644,0.5273702668449105,0.5292465187292775,mlp_uniform,0.01,0.6915629585153644,0.6936436691490864,0.5079602076424938,0.5160241043343433
nonlinear_interaction,51967,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",65.0,3,11,0.575346757094794,0.004948922191690459,False,1500,1500,0.44578391464448663,0.8753624194864496,0.8877361861316191,mlp_cost_weighted,0.0,0.44578391464448663,0.4331021883861614,0.8797201340301046,0.8885443736754354
nonlinear_interaction,51967,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",65.0,3,11,0.575346757094794,0.004948922191690459,False,1500,1500,0.44578391464448663,0.8753624194864496,0.8877361861316191,mlp_cost_weighted,0.0005,0.4782839146444866,0.4331021883861614,0.8797201340301046,0.8885443736754354
nonlinear_interaction,51967,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",65.0,3,11,0.575346757094794,0.004948922191690459,False,1500,1500,0.44578391464448663,0.8753624194864496,0.8877361861316191,mlp_cost_weighted,0.001,0.5107839146444866,0.4331021883861614,0.8797201340301046,0.8885443736754354
nonlinear_interaction,51967,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",65.0,3,11,0.575346757094794,0.004948922191690459,False,1500,1500,0.44578391464448663,0.8753624194864496,0.8877361861316191,mlp_cost_weighted,0.003,0.6407839146444867,0.4331021883861614,0.8797201340301046,0.8885443736754354
nonlinear_interaction,51967,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.692235552069163,0.00021914793687047255,False,1500,0,0.6915629585153644,0.5273702668449105,0.5292465187292775,mlp_cost_weighted,0.01,0.6915629585153644,0.6936436691490864,0.5079602076424938,0.5160241043343433
nonlinear_interaction,51967,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6918414403280778,0.5275265195576312,0.5297754361494794,logistic_cost_weighted,0.0,0.6918414403280778,0.6928500395129061,0.5105817809336968,0.5202274905691648
nonlinear_interaction,51967,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6918414403280778,0.5275265195576312,0.5297754361494794,logistic_cost_weighted,0.0005,0.6918414403280778,0.6928500395129061,0.5105817809336968,0.5202274905691648
