task,seed,mask_id,selected_groups,selected_features,n_groups,n_features,cost,in_path_with_boundaries,refit_gradient_inf,val_bce,val_auroc,val_ap
synthetic_expensive_signal,51966,15,"[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",4,14,125.0,False,1.4668045002578011e-08,0.6259705680550662,0.7005067082586462,0.6611207854348666
synthetic_expensive_signal,51966,16,[4],"[0, 1, 14, 15, 16]",1,5,90.0,True,4.0841236349873494e-10,0.5364627540255318,0.8047504869210296,0.769501499032283
synthetic_expensive_signal,51966,17,"[0, 4]","[0, 1, 2, 3, 4, 14, 15, 16]",2,8,100.0,False,1.2922750773657933e-10,0.53688458148485,0.804727207827983,0.7687362703175331
synthetic_expensive_signal,51966,18,"[1, 4]","[0, 1, 5, 6, 7, 14, 15, 16]",2,8,110.0,False,1.4898580070923755e-09,0.5373150883086077,0.8038115635014861,0.7665459534393193
synthetic_expensive_signal,51966,19,"[0, 1, 4]","[0, 1, 2, 3, 4, 5, 6, 7, 14, 15, 16]",3,11,120.0,False,8.354354847221846e-10,0.5378911397863007,0.8037805247107573,0.7652983762853947
synthetic_expensive_signal,51966,20,"[2, 4]","[0, 1, 8, 9, 10, 14, 15, 16]",2,8,125.0,True,1.5029002907032343e-09,0.4498611080899439,0.8694430864973501,0.854131833886234
synthetic_expensive_signal,51966,21,"[0, 2, 4]","[0, 1, 2, 3, 4, 8, 9, 10, 14, 15, 16]",3,11,135.0,False,1.9546651692256643e-09,0.45100830008931136,0.8687447137059541,0.8527551515461201
synthetic_expensive_signal,51966,22,"[1, 2, 4]","[0, 1, 5, 6, 7, 8, 9, 10, 14, 15, 16]",3,11,145.0,False,2.647832359498211e-09,0.4509107009503237,0.8689852643341014,0.8526932537628821
synthetic_expensive_signal,51966,23,"[0, 1, 2, 4]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16]",4,14,155.0,False,5.8041127300395914e-09,0.452170109011296,0.8683644885195272,0.8513568845368717
synthetic_expensive_signal,51966,24,"[3, 4]","[0, 1, 11, 12, 13, 14, 15, 16]",2,8,150.0,False,2.4862305886741345e-10,0.5376520163616033,0.8039512380597652,0.7691283381976046
synthetic_expensive_signal,51966,25,"[0, 3, 4]","[0, 1, 2, 3, 4, 11, 12, 13, 14, 15, 16]",3,11,160.0,False,1.3501724306321699e-09,0.5380867755293867,0.8033615010359196,0.7672401462316856
synthetic_expensive_signal,51966,26,"[1, 3, 4]","[0, 1, 5, 6, 7, 11, 12, 13, 14, 15, 16]",3,11,170.0,False,1.7862468099634032e-09,0.5384732033850432,0.8028648803842602,0.7657801512815352
synthetic_expensive_signal,51966,27,"[0, 1, 3, 4]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16]",4,14,180.0,False,1.2145469613752703e-09,0.5390535593978961,0.8028493609888958,0.7651701353134642
