task,method,alpha,repeats,cost_mean,cost_sd,n_groups_mean,n_groups_sd,n_features_mean,n_features_sd,test_bce_mean,test_bce_sd,test_auroc_mean,test_auroc_sd,test_ap_mean,test_ap_sd
synthetic_expensive_signal,all_checks,,3,355.0,0.0,6.0,0.0,20.0,0.0,0.45870731543657134,0.014932768368536832,0.863886799518629,0.01026320745187706,0.8455581814663963,0.009153741754961003
synthetic_expensive_signal,enumerated_refit,0.0,3,151.66666666666666,30.550504633038933,2.6666666666666665,0.5773502691896258,10.0,1.7320508075688772,0.4562236955807439,0.013928645173321449,0.8644333889423607,0.01002355916030187,0.8477389276648114,0.00922766828453925
synthetic_expensive_signal,enumerated_refit,0.00025,3,125.0,0.0,2.0,0.0,8.0,0.0,0.45441177608985545,0.013256775736665437,0.8658197000183874,0.009590502353004873,0.8493285161244097,0.009380456287075508
synthetic_expensive_signal,enumerated_refit,0.0005,3,125.0,0.0,2.0,0.0,8.0,0.0,0.45441177608985545,0.013256775736665437,0.8658197000183874,0.009590502353004873,0.8493285161244097,0.009380456287075508
synthetic_expensive_signal,enumerated_refit,0.001,3,125.0,0.0,2.0,0.0,8.0,0.0,0.45441177608985545,0.013256775736665437,0.8658197000183874,0.009590502353004873,0.8493285161244097,0.009380456287075508
synthetic_expensive_signal,enumerated_refit,0.002,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6802160347911083,0.007500991878104365,0.5861363864435408,0.024116912226737126,0.5217548055197687,0.024829747490230314
synthetic_expensive_signal,enumerated_refit,0.005,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6802160347911083,0.007500991878104365,0.5861363864435408,0.024116912226737126,0.5217548055197687,0.024829747490230314
synthetic_expensive_signal,enumerated_refit,0.01,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6802160347911083,0.007500991878104365,0.5861363864435408,0.024116912226737126,0.5217548055197687,0.024829747490230314
synthetic_expensive_signal,enumerated_refit,0.02,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6802160347911083,0.007500991878104365,0.5861363864435408,0.024116912226737126,0.5217548055197687,0.024829747490230314
synthetic_expensive_signal,free_only,,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6802160347911083,0.007500991878104365,0.5861363864435408,0.024116912226737126,0.5217548055197687,0.024829747490230314
synthetic_expensive_signal,group_lasso_path_refit,0.0,3,125.0,0.0,2.0,0.0,8.0,0.0,0.45441177608985545,0.013256775736665437,0.8658197000183874,0.009590502353004873,0.8493285161244097,0.009380456287075508
