task,seed,lambda,lambda_max_fraction,mask_id,selected_groups,cost,objective,kkt_residual,iterations,converged
synthetic_free_signal,51967,0.001418943621036938,0.1170803325686379,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4679538917373641,8.835270664114383e-08,42,True
synthetic_free_signal,51967,0.001237146285386861,0.10207981232073073,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46780043036476293,9.539318196420276e-08,41,True
synthetic_free_signal,51967,0.0010786411163595242,0.08900118281887143,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46766299754689256,8.638635796719118e-08,41,True
synthetic_free_signal,51967,0.0009404438841583713,0.07759820833398522,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46754039854400026,9.216692269222327e-08,40,True
synthetic_free_signal,51967,0.0008199527033012636,0.06765620125407824,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4674313899332544,9.788006465933448e-08,39,True
synthetic_free_signal,51967,0.0007148990460528426,0.05898798008880854,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46733473279919596,8.744527298948502e-08,39,True
synthetic_free_signal,51967,0.0006233050320946197,0.05143034534100341,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4672492283360516,9.215180584527208e-08,38,True
synthetic_free_signal,51967,0.0005434461903111252,0.04484100689517775,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4671737405327129,9.683885607013372e-08,37,True
synthetic_free_signal,51967,0.0004738189915958247,0.03909590507397029,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4671072094904086,8.578190312805817e-08,37,True
synthetic_free_signal,51967,0.00041311254140608537,0.03408687492513176,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4670486580505954,8.968488183923281e-08,36,True
synthetic_free_signal,51967,0.00036018389911346573,0.02971960976381563,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4669971937376629,9.361398467223226e-08,35,True
synthetic_free_signal,51967,0.00031403655947848287,0.025911885629101027,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46695200750574056,9.75506493876301e-08,34,True
synthetic_free_signal,51967,0.000273801691113393,0.022592013225997666,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46691237038485706,8.583979429704973e-08,34,True
synthetic_free_signal,51967,0.00023872177870325472,0.019697488207127474,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46687762882444794,8.916188103851405e-08,33,True
synthetic_free_signal,51967,0.00020813636101189934,0.017173814382484817,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4668471993072024,9.256549068720042e-08,32,True
synthetic_free_signal,51967,0.00018146959615748324,0.014973477701452282,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46682056263921307,9.600970246049169e-08,31,True
synthetic_free_signal,51967,0.00015821942004490665,0.013055051689888427,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4667972581968103,9.950250195319191e-08,30,True
synthetic_free_signal,51967,0.00013794809383728445,0.011382417500052658,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4667768783189196,8.721614500881894e-08,30,True
synthetic_free_signal,51967,0.00012027396250055241,0.0099240838889863,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46675906296656783,9.017201183157333e-08,29,True
synthetic_free_signal,51967,0.00010486426925657497,0.008652594322355657,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4667434947220728,9.328752739153775e-08,28,True
synthetic_free_signal,51967,9.142889066006251e-05,0.0075440100411030275,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4667298941666708,9.647071921999364e-08,27,True
synthetic_free_signal,51967,7.971487434749415e-05,0.006577459358428476,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46671801565021437,9.972758328646889e-08,26,True
