task,seed,mask_id,selected_groups,selected_features,n_groups,n_features,cost,in_path_with_boundaries,refit_gradient_inf,val_bce,val_auroc,val_ap,method,alpha,validation_objective,truth_groups,test_bce,test_auroc,test_ap
synthetic_expensive_signal,51966,63,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",6,20,355.0,True,3.4785354739621643e-09,0.4579401033350981,0.8649890200277797,0.8483812532620172,all_checks,,,"[2, 4]",0.46788868955620255,0.8585734691342691,0.8540435268450486
synthetic_free_signal,51966,52,"[2, 4, 5]","[0, 1, 8, 9, 10, 14, 15, 16, 17, 18, 19]",3,11,265.0,True,2.2383754684238514e-09,0.4726775286823067,0.8523187223494714,0.8122489905136651,group_lasso_path_refit,0.0,0.4726775286823067,[],0.5234530281218176,0.8152160271092842,0.7751693645235609
synthetic_free_signal,51966,54,"[1, 2, 4, 5]","[0, 1, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19]",4,14,285.0,False,6.342333939865411e-09,0.47200670525287935,0.8528285902544632,0.8129769668158101,enumerated_refit,0.0,0.47200670525287935,[],0.5254569912047121,0.81328637319193,0.7724514004329878
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,group_lasso_path_refit,0.00025,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,enumerated_refit,0.00025,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,group_lasso_path_refit,0.0005,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,enumerated_refit,0.0005,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,group_lasso_path_refit,0.001,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,enumerated_refit,0.001,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,group_lasso_path_refit,0.002,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,enumerated_refit,0.002,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,group_lasso_path_refit,0.005,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
