task,seed,candidate_id,family,lambda,selected_groups,selected_features,cost,n_groups,n_features,train_objective,stationarity,converged,iterations,warmup_iterations,val_bce,val_auroc,val_ap,gt_groups,gt_cost,information_sufficient,exact_gt,missing_groups,extra_groups,n_missing,n_extra,actual_cost,unnecessary_spend,excess_cost_if_sufficient
linear_control,51967,mlp_uniform_5,mlp_uniform,0.1,"[0, 1, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13]",90.0,3,11,0.535577547062082,0.0040004915731493285,False,1500,1500,0.4615608705737991,0.8663101604278075,0.8666435949988263,"[0, 1]",30.0,True,False,[],[3],0,1,90.0,60.0,60.0
linear_control,51967,mlp_cost_weighted_1,mlp_cost_weighted,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.21459455701587293,0.0008275215162505532,False,1500,1500,0.999584316320455,0.7723626640738939,0.7575272160849962,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51967,mlp_cost_weighted_2,mlp_cost_weighted,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.2811072624112117,0.0018491872736928292,False,1500,1500,0.9367063580546198,0.7786478227654697,0.7519552500245006,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51967,mlp_cost_weighted_3,mlp_cost_weighted,0.01,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.39977383130268673,0.00470141808301886,False,1500,1500,0.7061523010411989,0.8104729495103826,0.7924663251020974,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51967,mlp_cost_weighted_4,mlp_cost_weighted,0.03,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",215.0,5,17,0.4715463813930846,0.005131750863624195,False,1500,1500,0.4830896955200544,0.8550767414403777,0.8513185554045148,"[0, 1]",30.0,True,False,[],"[2, 3, 4]",0,3,215.0,185.0,185.0
linear_control,51967,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.48648876577141803,0.0014819161590610707,False,1500,1500,0.45824586232623216,0.8663969720119453,0.8659028991507,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
linear_control,51967,logistic_all,logistic_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.4559433195565396,0.8669699284672547,0.8634092789679302,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51967,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6933585710546761,0.5085075352455031,0.526043611439734,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
linear_control,51967,logistic_cost_weighted_0,logistic_cost_weighted,0.0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.4559433175162163,0.8669699284672547,0.8634092789679302,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51967,logistic_cost_weighted_1,logistic_cost_weighted,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.4548236370536776,0.8672998124869783,0.8643649887349186,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
